#   E(eV)   sigma[Mb]   hyp error
    15.83     29.2      0.0
    15.89     29.5      0.0
    16.10     30.3      0.0
    16.31     31.1      0.0
    16.53     31.8      0.0
    16.75     32.5      0.0
    16.98     33.1      0.0
    17.22     33.7      0.0
    17.46     34.2      0.0
    17.71     34.7      0.0
    17.97     35.1      0.0
    18.23     35.5      0.0
    18.50     35.8      0.0
    18.78     36.1      0.0
    19.07     36.3      0.0
    19.37     36.5      0.0
    19.68     36.6      0.0
    20.00     36.7      0.0
    20.32     36.8      0.0
    20.66     36.7      0.0
    21.01     36.7      0.0
    21.38     36.5      0.0
    21.75     36.3      0.0
    22.14     36.1      0.0
    22.54     35.7      0.0
    22.96     35.4      0.0
    23.39     34.9      0.0
    23.84     34.4      0.0
    24.31     33.8      0.0
    24.80     33.1      0.0
    25.30     32.3      0.0
    25.83     31.4      0.0
    26.38     30.5      0.0
    26.95     29.5      0.0
    27.55     28.3      0.0
    28.18     27.1      0.0
    28.83     25.7      0.0
    29.52     24.3      0.0
    30.24     22.7      0.0
    30.99     21.0      0.0
    31.79     19.1      0.0
