#  E(eV)   sigma[Mb]   hyp error
    14.02     29.6     0.0
    14.09     30.8     0.0
    14.25     33.5     0.0
    14.42     35.8     0.0
    14.59     37.6     0.0
    14.76     39.1     0.0
    14.94     40.2     0.0
    15.12     41.2     0.0
    15.31     41.8     0.0
    15.50     42.3     0.0
    15.69     42.6     0.0
    15.89     42.8     0.0
    16.10     42.9     0.0
    16.31     42.9     0.0
    16.53     42.8     0.0
    16.75     42.7     0.0
    16.98     42.5     0.0
    17.22     42.2     0.0
    17.46     42.0     0.0
    17.71     41.7     0.0
    17.97     41.4     0.0
    18.23     41.0     0.0
    18.50     40.6     0.0
    18.78     40.2     0.0
    19.07     39.8     0.0
    19.37     39.3     0.0
    19.68     38.8     0.0
    20.00     38.3     0.0
    20.32     37.7     0.0
    20.66     37.1     0.0
    21.01     36.4     0.0
    21.38     35.7     0.0
    21.75     35.0     0.0
    22.14     34.2     0.0
    22.54     33.3     0.0
    22.96     32.4     0.0
    23.39     31.4     0.0
    23.84     30.4     0.0
    24.31     29.3     0.0
    24.80     28.2     0.0
    25.30     27.0     0.0
    25.83     25.8     0.0
    26.38     24.5     0.0
    26.95     23.2     0.0
    27.55     21.9     0.0
