#  E(eV)   sigma[Mb]     hyp error
   21.56   6.21    0.0
   21.75   6.33    0.0
   21.94   6.46    0.0
   22.14   6.58    0.0
   22.34   6.71    0.0
   22.54   6.82    0.0
   22.75   6.94    0.0
   22.96   7.05    0.0
   23.17   7.16    0.0
   23.39   7.26    0.0
   23.62   7.37    0.0
   23.84   7.47    0.0
   24.07   7.56    0.0
   24.31   7.66    0.0
   24.55   7.75    0.0
   24.80   7.83    0.0
   25.05   7.92    0.0
   25.30   8.00    0.0
   25.56   8.08    0.0
   25.83   8.15    0.0
   26.10   8.23    0.0
   26.38   8.29    0.0
   26.66   8.36    0.0
   26.95   8.42    0.0
   27.25   8.48    0.0
   27.55   8.54    0.0
   27.86   8.59    0.0

# Atomic Data and Nuclear Data Tables 18, 497 (1976)
