# energy [eV]       sigma [Mb]      hyp error
        13.45            66.30            0.0
        13.48            66.20            0.0
        13.62            65.72            0.0
        13.78            65.22            0.0
        13.93            64.69            0.0
        14.09            64.13            0.0
        14.25            63.53            0.0
        14.42            62.88            0.0
        14.59            62.19            0.0
        14.76            61.45            0.0
        14.94            60.67            0.0
        15.12            59.83            0.0
        15.31            58.94            0.0
        15.50            58.00            0.0
        15.69            57.01            0.0
        15.89            55.96            0.0
        16.10            54.87            0.0
        16.31            53.74            0.0
        16.53            52.55            0.0
        16.75            51.32            0.0
        16.98            50.05            0.0
        17.22            48.75            0.0
        17.46            47.40            0.0
        17.71            46.03            0.0
        17.97            44.62            0.0
        18.23            43.19            0.0
        18.50            41.73            0.0
        18.78            40.25            0.0
        19.07            38.76            0.0
        19.37            37.26            0.0
        19.68            35.75            0.0
        20.00            34.23            0.0
        20.32            32.71            0.0
        20.66            31.20            0.0
        21.01            29.69            0.0
        21.38            28.19            0.0
        21.75            26.71            0.0
        22.14            25.24            0.0
        22.54            23.79            0.0
        22.96            22.37            0.0


# Atomic Data and Nuclear Data Tables 22, 103-107 (1978)
