# R   6->13 (xy)     6->1 (z)      12->1 (xy)     6->2 (z)      12->2 (xy)   err

3.6   0.00846986     0.13283161    0.00303484     0.13490696    0.02289053   0.00
3.7   0.00731591     0.11177885    0.00237183     0.11904936    0.01970465   0.00
3.8   0.00628450     0.09373001    0.00186088     0.10343853    0.01681200   0.00
3.88  0.00554592     0.08126080    0.00153849     0.09162143    0.01472820   0.00
3.9   0.00537290     0.07839546    0.00146790     0.08879289    0.01423984   0.00
4.0   0.00457433     0.06544758    0.00116509     0.07551696    0.01199096   0.00
4.1   0.00387992     0.05456181    0.00093073     0.06377674    0.01005069   0.00
4.2   0.00327979     0.04543725    0.00074830     0.05357810    0.00839368   0.00
4.3   0.00276394     0.03780519    0.00060538     0.04483177    0.00698956   0.00
4.4   0.00232262     0.03143124    0.00049261     0.03740005    0.00580674   0.00
4.5   0.00194669     0.02611398    0.00040301     0.03112743    0.00481483   0.00
5.0   0.00077980     0.01023965    0.00015690     0.01215694    0.00184957   0.00
5.5   0.00030064     0.00395898    0.00006452     0.00464462    0.00069520   0.00
6.0   0.00011271     0.00151500    0.00002704     0.00175179    0.00025715   0.00
6.5   0.00004119     0.00057082    0.00001120     0.00064961    0.00009328   0.00
7.0   0.00001486     0.00020894    0.00000443     0.00023407    0.00003320   0.00
7.5   0.00000539     0.00007510    0.00000171     0.00008307    0.00001180   0.00
8.0   0.00000191     0.00002857    0.00000077     0.00003133    0.00000426   0.00
8.5   0.00000052     0.00001296    0.00000047     0.00001394    0.00000145   0.00
10.0  0.00000036     0.00000308    0.00000020     0.00000207    0.00000046   0.00
12.0  0.00000015     0.00000069    0.00000000     0.00000027    0.00000029   0.00
14.0  0.00000000     0.00000019    0.00000000     0.00000013    0.00000007   0.00
