# R   6->13 (xy)     6->1 (z)      12->1 (xy)     6->2 (z)      12->2 (xy)   err
3.6   0.01256603     0.17199992    0.00003707     0.00095528    0.01257409   0.000
3.7   0.01053539     0.14791086    0.00004694     0.00105482    0.01054179   0.000
3.8   0.00881275     0.12617469    0.00005621     0.00114928    0.00881778   0.000
3.9   0.00735713     0.10693997    0.00006447     0.00123324    0.00736101   0.000
4.0   0.00613098     0.09017856    0.00007130     0.00130105    0.00613389   0.000
4.1   0.00510078     0.07574473    0.00007639     0.00134783    0.00510286   0.000
4.2   0.00423712     0.06342661    0.00007952     0.00137015    0.00423849   0.000
4.3   0.00351451     0.05298470    0.00008065     0.00136672    0.00351527   0.000
4.4   0.00291103     0.04417754    0.00007988     0.00133858    0.00291128   0.000
4.5   0.00240792     0.03677696    0.00007746     0.00128873    0.00240775   0.000
5.0   0.00091599     0.01445731    0.00005264     0.00087416    0.00091482   0.000
5.5   0.00034040     0.00557194    0.00002869     0.00048788    0.00033930   0.000
6.0   0.00012394     0.00211956    0.00001405     0.00024830    0.00012318   0.000
6.5   0.00004415     0.00079208    0.00000640     0.00011860    0.00004369   0.000
7.0   0.00001555     0.00028701    0.00000278     0.00005307    0.00001530   0.000
7.5   0.00000551     0.00010201    0.00000118     0.00002263    0.00000539   0.000
8.0   0.00000190     0.00003836    0.00000047     0.00000996    0.00000184   0.000
8.5   0.00000048     0.00001712    0.00000013     0.00000508    0.00000046   0.000
10.0  0.00000042     0.00000337    0.00000016     0.00000134    0.00000016   0.000
12.0  0.00000017     0.00000037    0.00000008     0.00000019    0.00000016   0.000
14.0  0.00000000     0.00000000    0.00000000     0.00000000    0.00000000   0.000
