#R_1        1-12 (xy)    2-12 (xy)    6-13 (xy)    7-12 (z)      8-12 (z)       err
       4.00  0.000456220  0.007225750  0.003738850   0.035943130   0.044721120  0.0
       4.20  0.000335080  0.005046650  0.002691170   0.025570740   0.031990470  0.0
       4.40  0.000236910  0.003505270  0.001922860   0.018116020   0.022635130  0.0
       4.60  0.000163000  0.002424910  0.001365230   0.012792420   0.015901550  0.0
       4.80  0.000109760  0.001672300  0.000964010   0.009007200   0.011114340  0.0
       5.00  0.000072490  0.001150260  0.000677400   0.006325650   0.007738230  0.0
       5.20  0.000046930  0.000789310  0.000473830   0.004432610   0.005371330  0.0
       5.60  0.000018170  0.000368880  0.000228640   0.002165840   0.002570850  0.0
       6.00  0.000005920  0.000170390  0.000108240   0.001052350   0.001221240  0.0
       6.50  0.000000830  0.000063910  0.000041690   0.000421030   0.000474060  0.0
       7.00  0.000000090  0.000024020  0.000016170   0.000164500   0.000179680  0.0
       8.00  0.000000050  0.000003880  0.000002820   0.000026060   0.000027340  0.0
       8.50  0.000000070  0.000001620  0.000001240   0.000012160   0.000012720  0.0
       9.00  0.000000060  0.000000600  0.000000540   0.000006920   0.000007060  0.0
      10.00  0.0          0.000000060  0.000000110   0.000003970   0.000003330  0.0
      12.00  0.0          0.000000050  0.0           0.000002300   0.000001450  0.0
      14.00  0.0          0.0          0.0           0.000000840   0.000000530  0.0
      16.00  0.0          0.0          0.0           0.000000190   0.000000130  0.0
      18.00  0.0          0.0          0.0           0.0           0.0          0.0
                                                                
                                                                
# 1-12 new, 2-12 new, 6-13 new
